database_name,schema_name,object_name,column_name,policy_name,policy_using
 dev_bRONZE_ADF,AIRBNB,AirBnBReviews_Dmp,id,COLUMN_NUMBER_MASKING_POLICY,
BRONZE_ADF,AIRBNB,AirBnBReviews_Dmp,comments,COLUMN_COMMENT_CONDITIONAL_MASKING_POLICY,reviewer_name
SILVER_ADF,AIRBNB,AirBnBReviews_Dmp,id,COLUMN_NUMBER_MASKING_POLICY,
SILVER_ADF,AIRBNB,AirBnBReviews_Dmp,comments,COLUMN_COMMENT_CONDITIONAL_MASKING_POLICY,reviewer_name
GOLD_ADF,AIRBNB,FACT_AIRBNB_REVIEWS_DMP,ID,COLUMN_NUMBER_MASKING_POLICY,
GOLD_ADF,AIRBNB,FACT_AIRBNB_REVIEWS_DMP,COMMENTS,COLUMN_COMMENT_CONDITIONAL_MASKING_POLICY,REVIEWER_NAME
PLATINUM_ADF,AIRBNB,FACT_AIRBNB_REVIEWS_DMP_DT,ID,COLUMN_NUMBER_MASKING_POLICY,
PLATINUM_ADF,AIRBNB,FACT_AIRBNB_REVIEWS_DMP_DT,COMMENTS,COLUMN_COMMENT_CONDITIONAL_MASKING_POLICY,REVIEWER_NAME
PLATINUM_ADF,AIRBNB,FACT_AIRBNB_REVIEWS_DMP_VIEW2,ID,COLUMN_NUMBER_MASKING_POLICY,
PLATINUM_ADF,AIRBNB,FACT_AIRBNB_REVIEWS_DMP_VIEW2,COMMENTS,COLUMN_COMMENT_CONDITIONAL_MASKING_POLICY,REVIEWER_NAME
